id,period,minute,seconds,type,match.id,match.homeTeamDisplayName,match.awayTeamDisplayName,swimoff.homeTeamSwimmer.playerId_x,swimoff.awayTeamSwimmer.playerId_x,swimoff.winnerSwimmer.playerId_x,exclusion.excludedPlayer.playerId_x,exclusion.fouledPlayer.playerId_x,exclusion.locationX,exclusion.locationY,shot.type,shot.takenBy.playerId_x,shot.blockedBy.playerId_x,shot.isGoal,shot.isFastBreak,shot.isDirectFromFoul,shot.locationX,shot.locationY,shot.targetX,shot.targetY,shot.assistedBy.playerId_x,turnover.type,turnover.lostPossesionPlayer.playerId,shot.savedBy.playerId_x,turnover.wonPossesionPlayer.playerId_x,timeout.team.name,shot.savedBy.playerId_y,shot_saved_playerId,shot_saved_by,turnover.wonPossesionPlayer.playerId_y,turnover_playerId,turnover_won_by,shot.assistedBy.playerId_y,shot_assisted_playerId,shot_assisted_by,shot.blockedBy.playerId_y,shot_blocked_playerId,shot_blocked_by,shot.takenBy.playerId_y,shot_playerId,shot_taken_by,exclusion.excludedPlayer.playerId_y,exclusion_playerId,exclusion_committed_by,swimoff.homeTeamSwimmer.playerId_y,swimoff_hometeam_playerId,swimoff_hometeam,swimoff.awayTeamSwimmer.playerId_y,swimoff_awayteam_playerId,swimoff_awayteam,swimoff.winnerSwimmer.playerId_y,swim_off_won_by_playerId,swim_off_won_by,turnover.lostPossesionPlayer.playerId_x,turned_over_by_playerId_x,turned_over_by_x,turnover.lostPossesionPlayer.playerId_y,turned_over_by_playerId_y,turned_over_by_y,exclusion.fouledPlayer.playerId_y,exclusion_drawn_by_playerId,exclusion_drawn_by
374862,Third_Period,4,59,Shot,10044,Croatia,Italy,,,,,,,,Power_Play,77.0,,True,False,False,0.474,0.2,0.355,0.411,1410.0,,,,,,,,,,,,1410.0,1410.0,Konstantin Kharkov,,,,77.0,77.0,Loren Fatovic,,,,,,,,,,,,,,,,,,,,,
374863,Third_Period,4,49,Exclusion,10044,Croatia,Italy,,,,1064.0,1359.0,0.95,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1064.0,1064.0,Ante Vukicevic,,,,,,,,,,,,,,,,1359.0,1359.0,Vincenzo Renzuto
374864,Third_Period,4,29,Shot,10044,Croatia,Italy,,,,,,,,Regular_Attack,134.0,,True,False,False,0.641,0.064,,,6037.0,,,,,,,,,,,,6037.0,6037.0,Francesco Condemi,,,,134.0,134.0,Nicholas Presciutti,,,,,,,,,,,,,,,,,,,,,
374865,Third_Period,4,15,Exclusion,10044,Croatia,Italy,,,,1359.0,71.0,0.496,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1359.0,1359.0,Vincenzo Renzuto,,,,,,,,,,,,,,,,71.0,71.0,Luka Loncar
374866,Third_Period,4,3,Shot,10044,Croatia,Italy,,,,,,,,Power_Play,81.0,,True,False,False,0.697,0.165,0.232,0.872,1410.0,,,,,,,,,,,,1410.0,1410.0,Konstantin Kharkov,,,,81.0,81.0,Marko Zuvela,,,,,,,,,,,,,,,,,,,,,
374867,Third_Period,3,47,Exclusion,10044,Croatia,Italy,,,,60.0,532.0,0.545,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,60.0,Rino Buric,,,,,,,,,,,,,,,,532.0,532.0,Lorenzo Bruni
374868,Third_Period,3,47,Shot,10044,Croatia,Italy,,,,,,,,Power_Play,532.0,,True,False,False,0.585,0.107,0.777,0.899,1357.0,,,,,,,,,,,,1357.0,1357.0,Andrea Fondelli,,,,532.0,532.0,Lorenzo Bruni,,,,,,,,,,,,,,,,,,,,,
374869,Third_Period,3,34,Exclusion,10044,Croatia,Italy,,,,493.0,77.0,0.316,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.0,493.0,Edoardo Di Somma,,,,,,,,,,,,,,,,77.0,77.0,Loren Fatovic
374870,Third_Period,3,14,Turnover,10044,Croatia,Italy,,,,,,,,,,,,,,,,,,,Lost_Ball,917.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917.0,917.0,Jerko Marinic Kragic,917.0,917.0,Jerko Marinic Kragic,,,
374871,Third_Period,2,47,Shot,10044,Croatia,Italy,,,,,,,,Regular_Attack,1360.0,,False,False,False,0.745,0.348,0.243,0.064,,,,,,,,,,,,,,,,,,,1360.0,1360.0,Gonzalo Echenique,,,,,,,,,,,,,,,,,,,,,
